adl_id,date,city,state,description
10781,11/3/19,Bryn Mawr,PA,"New Jersey European Heritage Association, an alt right group, distributed fliers at Bryn Mawr College that read: ""Reclaim your nation reclaim your heritage,"" ""America belongs to Americans,"" ""Report illegal aliens they are criminal invaders,"" and ""Remember the USS Liberty."""
10790,11/3/19,Rosemont,PA,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Reclaim your nation reclaim your heritage,"" ""Stop drag queen story hour,"" ""Duty Calls,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10587,11/1/19,Pueblo,CO,"Federal authorities arrewsted white supremaciste Richard Holzer on multiple charges related to an alleged plot to blow up a synagogue in Pueblo, Colorado."
10809,11/1/19,Asbury Park,NJ,"New Jersey European Heritage Association, an alt right group, distributed fliers that read: ""Stop drag queen story hour,"" ""Stop invasion caravan defend America troops to the border now,"" ""They own us no war for Israel,"" and ""Demand a real investigation of USS Liberty attack June 8th 1967 Israeli sneak attack against Americans!"""
10812,11/1/19,Melbourne,FL,"New Jersey European Heritage Association, an alt right group, distributed stickers at Eastern Florida State College that read: ""End all immigration,"" ""Open borders for Israel,"" ""Multi-culturalism has failed,"" and ""Remember the USS Liberty 1967 Israeli attack against America!"""
10833,11/1/19,Orlando,FL,"Fliers that read ""Florida Jews Attack Campus Free Speech"" were posted on the campus of University of Central Florida."
10834,11/1/19,Brooklyn,NY,Two Hasidic boys were chased and harassed by individuals in a car in Boro Park.
10835,11/1/19,Philadelphia,PA,"An anti-Semitic flier that stated ""Jews are the common enemy"" to world peace, was placed on a Jewish woman's car."
10836,11/1/19,Los Angeles,CA,"Swastika graffiti and ""kill the Jews"" was spray-painted in the vicinity of a synagogue and non-Jewish school."
10837,11/1/19,Darien,CT,A student at Darien High School discovered that a school laptop had been vandalized with a swastika drawing.
10838,11/1/19,Renton,WA,Someone spray-painted swastikas on the backs of turtles at Gene Coulon Park.
10839,11/1/19,Los Angeles,CA,"Driver in a car yelled ""Fuck the Jews! Allah Akbar"" at a group of Jewish people on the street."
10840,11/1/19,Studio City,CA,"Customer made anti-Semitic and anti-Muslim remarks to an employee saying, referring to ""The Zionists, power-money hungry Jews, and the terrorist Muslims."""
10841,11/1/19,Boulder,CO,"A group of anti-Semitic provocateurs drove around in a van with anti-Semitic messages written on it, and dressed as Jews while disseminating anti-Semitic fliers."
10842,11/1/19,Denver,CO,"A group of anti-Semitic provocateurs drove around in a van with anti-Semitic messages written on it, and dressed as Jews while disseminating anti-Semitic fliers."
10843,11/1/19,Longmont,CO,"A group of anti-Semitic provocateurs drove around a Walmart parking lot in a van with anti-Semitic messages written on it, while also yelling out anti-Semitic statements."
10844,11/1/19,Boulder,CO,"Members of fraternities living in a formerly Jewish fraternity house refer to the house as ""The Oven."""
10845,11/1/19,Fort Collins,CO,Anti-Semitic provocateurs posted anti-Semitic fliers outside a gun store that blamed Jews for gun control efforts.
10846,11/1/19,Saint Paul,MN,"Jewish woman received an anti-Semitic email from an unknown user with the subject line ""We See You, Jew."""
10847,11/1/19,New Orleans,LA,An abandoned building was vandalized was swastika graffiti and a Star of David.
10848,11/1/19,Montclair,NJ,An employee at Montclair High School discovered that a table in the school cafeteria was vandalized with swastika drawings.
